Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,43.700001,44.799999,43.439999,44.580002,44.580002,1039800
2020-02-14,44.520000,44.689999,43.790001,43.880001,43.880001,731000
2020-02-18,43.660000,43.990002,42.299999,42.590000,42.590000,1156400
2020-02-19,42.599998,42.830002,41.110001,41.139999,41.139999,1639200
2020-02-20,41.000000,41.700001,40.750000,41.250000,41.250000,1694500
2020-02-21,41.119999,41.189999,40.389999,41.099998,41.099998,935100
2020-02-24,39.119999,39.119999,36.750000,37.459999,37.459999,2938200
2020-02-25,38.000000,38.049999,34.389999,34.709999,34.709999,3006200
2020-02-26,35.160000,35.490002,32.799999,32.919998,32.919998,2867600
2020-02-27,31.290001,32.290001,29.750000,29.750000,29.750000,3802100
2020-02-28,28.309999,29.650000,27.980000,28.450001,28.450001,3602200
2020-03-02,28.360001,28.450001,26.129999,27.270000,27.270000,4539200
2020-03-03,28.020000,28.680000,25.200001,25.230000,25.230000,2926900
2020-03-04,25.900000,26.410000,24.150000,26.340000,26.340000,4020400
2020-03-05,25.020000,25.040001,21.270000,21.540001,21.540001,6721400
2020-03-06,20.230000,23.770000,19.040001,22.520000,22.520000,5759400
2020-03-09,20.700001,21.870001,20.000000,21.410000,21.410000,3369000
2020-03-10,22.540001,22.790001,19.660000,22.480000,22.480000,5673900
2020-03-11,21.740000,21.760000,20.139999,20.930000,20.930000,3562900
2020-03-12,18.209999,18.620001,14.000000,14.060000,14.060000,8133300
2020-03-13,15.910000,16.000000,13.440000,15.080000,15.080000,6305200
2020-03-16,13.090000,13.500000,10.920000,11.660000,11.660000,7639100
2020-03-17,12.100000,12.370000,10.800000,11.720000,11.720000,6830500
2020-03-18,10.960000,11.000000,7.440000,9.010000,9.010000,6283400
2020-03-19,8.760000,9.480000,7.010000,8.390000,8.390000,6294700
2020-03-20,9.260000,11.250000,8.420000,8.690000,8.690000,6841700
2020-03-23,9.350000,9.990000,8.600000,9.830000,9.830000,6250100
2020-03-24,12.540000,14.390000,11.750000,13.530000,13.530000,8988100
2020-03-25,17.570000,17.950001,14.590000,15.960000,15.960000,11570600
2020-03-26,17.150000,18.680000,16.080000,16.510000,16.510000,9915500
2020-03-27,15.760000,16.000000,14.380000,14.790000,14.790000,5784800
2020-03-30,13.500000,13.660000,11.650000,12.420000,12.420000,7175700
2020-03-31,13.090000,13.300000,12.550000,12.890000,12.890000,4850500
2020-04-01,11.660000,12.180000,11.140000,11.320000,11.320000,5319400
2020-04-02,11.210000,11.500000,10.120000,10.530000,10.530000,4394700
2020-04-03,11.000000,11.110000,10.080000,10.510000,10.510000,3785800
2020-04-06,11.490000,11.770000,10.330000,10.470000,10.470000,8055500
2020-04-07,12.310000,13.460000,11.070000,11.440000,11.440000,8833800
2020-04-08,12.040000,12.670000,11.660000,12.510000,12.510000,5281600
2020-04-09,13.440000,15.190000,13.190000,14.080000,14.080000,9878300
2020-04-13,15.150000,15.340000,12.510000,13.320000,13.320000,7983600
2020-04-14,14.310000,14.550000,13.600000,13.880000,13.880000,5860600
2020-04-15,14.120000,14.230000,13.330000,13.760000,13.760000,7367600
2020-04-16,13.420000,13.500000,12.370000,12.660000,12.660000,5562000
2020-04-17,13.440000,13.670000,13.040000,13.350000,13.350000,4411700
2020-04-20,12.790000,13.320000,12.510000,12.950000,12.950000,5217500
